About,关于,
Add Discount,折扣,
Address,地址,
Amended From,修订自(上一版单据编号),
Amount,金额,
Branch,分支机构（分公司）,
Buying Price List,采购价格表,
Cancel,取消,
Cancelled,已取消,
Cashier,出纳员,
Checkout,结账,
Closing Amount,结账金额,
Comment,评论,
Comments,评论,
Company,公司,
Cost Per Unit,单位成本,
Cost of Goods Sold,销货成本,
Course,课程,
Customer,客户,
Customer Group,客户组,
Customer Name,客户名称,
Customer Territory,客户地区,
Date,日期,
Default Price List,默认价格表,
Delivery,出货,
Depreciation,折旧,
Details,详细信息,
Difference,差异,
Direct Expenses,直接费用,
Disabled,禁用,
Duplicate,复制,
Edit Cart,返回购物车,
Employee,员工,
Enabled,已启用,
Expected Amount,预期金额,
Expense,费用,
Frappe Support,Frappe支持,
From Date,开始日期,
Grand Total,总计,
Image,图片,
Indirect Expenses,间接费用,
Invoice,发票,
Item,物料,
Item Cart,购物车,
Item Group,物料组,
Item Groups,物料组,
Item Name,物料名称,
Items,物料,
Keyboard Shortcuts,键盘快捷键,
Loading Invoices! Please Wait...,正在加载发票，请稍候...,
Material,物料,
Menu,菜单,
Mobile Number,手机号码,
Mode of Payment,付款方式,
Net Profit/Loss,净损益,
Net Total,净总计,
Not permitted,没有权限,
Opening Amount,起始金额,
Order No,订单编号,
Order Status,订单状态,
Order Type,订单类型,
POS Invoice,POS发票,
POS Profile,POS设置,
Payment Amount,付款金额,
Payment Type,付款类型,
Percent,百分比,
Point of Sale,销售点,
Print,打印,
Printer,打印机,
Printer Settings,打印机设置,
Production,生产,
Qty,数量,
Quantity,数量,
Rate,单价,
Reason,原因,
Receiver By Role,按角色指定接收人,
Recipients,收件人列表,
Remarks,备注,
Retry,重试,
Role,角色,
Select Items,选择物料,
Summary,概要,
System Health,系统健康状态,
System Manager,系统管理员,
Tax,税,
This method is only meant for developer mode,本方法仅适用于开发者模式,
Time,时间,
To Date,结束日期,
Total Items,物料总数,
Type,类型,
Update,更新,
User,用户,
Validation Error,验证错误,
Verified,已验证,
Warehouse,仓库,
Warning,警告,
